ScanNumber	ImageOrSpectrum	FullOrROI	AcquireOrFocus	NumFrames	NumAccum	ExposureTime	ROIX1Start	ROIX1End	ROIY1Start	ROIY1End	HHG(mbar)	Target(mbar)	ValveHHG	ValveTarget	ZPositionHHG	ZPositionTarget	InitialPower	IrisPosition	TDPosition	XPositionTarget	Wedge1Pos	Wedge2Pos	MirrorFarX	MirrorFarY	MirrorNearX	MirrorNearY	CEP	Notes
1460	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.948	67.002	0.000	0.000	0.000	0.000	0.000	60.000	100.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1461	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.948	67.002	0.000	0.000	0.000	0.000	0.000	60.000	100.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1462	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.916	66.753	0.000	0.000	0.000	0.000	0.000	60.000	100.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1463	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.908	66.865	0.000	0.000	0.000	0.000	0.000	60.000	100.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1464	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.908	66.865	0.000	0.000	0.000	0.000	0.000	60.000	100.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1465	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.908	66.865	0.000	0.000	0.000	0.000	0.000	60.000	100.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1466	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.932	66.785	0.000	0.000	0.000	0.000	0.000	60.000	100.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1467	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.085	67.099	0.000	0.000	0.000	0.000	0.000	60.000	100.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1468	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.085	67.099	0.000	0.000	0.000	0.000	0.000	60.000	100.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1469	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.028	66.825	0.000	0.000	0.000	0.000	0.000	60.000	100.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1470	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.028	66.825	0.000	0.000	0.000	0.000	0.000	60.000	100.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1471	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.988	66.817	0.000	0.000	0.000	0.000	0.000	60.000	100.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1472	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.141	66.857	0.000	0.000	0.000	0.000	0.000	60.000	100.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1473	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.972	66.688	0.000	0.000	0.000	0.000	0.000	60.000	100.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1474	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.972	66.688	0.000	0.000	0.000	0.000	0.000	60.000	100.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1475	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.327	67.059	0.000	0.000	0.000	0.000	0.000	60.000	101.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1476	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.819	67.035	0.000	0.000	0.000	0.000	0.000	60.000	101.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1477	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.819	67.035	0.000	0.000	0.000	0.000	0.000	60.000	101.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1478	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.803	66.785	0.000	0.000	0.000	0.000	0.000	60.000	101.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1479	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.803	66.785	0.000	0.000	0.000	0.000	0.000	60.000	101.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
